[1, 2, 6, -1, 3, 4, 5, -1, -1, -1]
[-1, -1, 6, -1, -1, -1, -1, -1, -1, -1]
[-1, -1, 6, -1, -1, -1, -1, -1, -1, -1]
[-1, -1, 8, -1, 7, -1, -1, -1, -1, -1]
[-1, -1, -1, -1, -1, 4, 5, -1, -1, 40]
[-1, -1, -1, -1, -1, 4, 5, -1, -1, 40]
[-1, -1, 6, 9, -1, -1, -1, -1, -1, 10]
[-1, -1, 8, -1, 7, -1, -1, -1, -1, 30]
[-1, -1, 8, -1, 7, -1, -1, -1, -1, 30]
[-1, -1, 10, -1, -1, -1, -1, -1, -1, -1]
[-1, -1, 10, -1, -1, -1, -1, 12, 11, 20]
[13, 14, 15, -1, -1, -1, -1, -1, -1, -1]
[13, 14, 15, -1, -1, -1, -1, -1, -1, -1]
[-1, -1, 15, -1, -1, -1, -1, -1, -1, -1]
[-1, -1, 15, -1, -1, -1, -1, -1, -1, -1]
[-1, -1, 15, -1, -1, -1, -1, -1, -1, 20]
